trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,25.67774939996889,25.67774939996889,0.06318489997647703,[-0.171875],[-0.203125],[1],[0],[0],[1.8944761999882758],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
1,0,1,0,5,27.553452600026503,27.553452600026503,0.020836499985307455,[0.1044921875],[-0.263671875],[1],[0],[0],[2.1332012999919243],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
2,0,2,0,10,29.751943600014783,29.751943600014783,0.048886299948208034,[-0.3935546875],[-0.123046875],[1],[0],[0],[1.9101291000260971],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
3,0,3,0,5,31.686393700016197,31.686393700016197,0.02349509997293353,[-0.0576171875],[-0.1923828125],[1],[0],[0],[1.5889738000114448],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
4,0,4,0,10,33.3273971999879,33.3273971999879,0.039940399990882725,[0.4931640625],[0.064453125],[1],[0],[0],[2.4456873000017367],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
5,0,5,0,5,35.784797900007106,35.784797900007106,0.018183399981353432,[-0.2880859375],[-0.1650390625],[1],[0],[0],[1.90334169997368],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
6,0,6,0,5,37.71551130001899,37.71551130001899,0.020962100010365248,[0.115234375],[-0.2421875],[1],[0],[0],[1.4740913999849],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
7,0,7,0,10,39.2419844000251,39.2419844000251,0.0397880999953486,[0.4345703125],[-0.328125],[1],[0],[0],[2.0371095000300556],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
8,0,8,0,5,41.29328849999001,41.29328849999001,0.01858689996879548,[0.1318359375],[-0.337890625],[1],[0],[0],[1.544675000011921],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
9,0,9,0,10,42.89210960001219,42.89210960001219,0.03859910002211109,[0.380859375],[-0.1474609375],[1],[0],[0],[1.7625236000167206],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
10,0,10,0,10,44.73084510001354,44.73084510001354,0.055041000014171004,[0.232421875],[0.4375],[1],[0],[0],[2.7479694000212476],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
11,0,11,0,10,47.50952989998041,47.50952989998041,0.036319500009994954,[-0.3837890625],[0.4638671875],[1],[0],[0],[2.9759721000446007],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
